requests_per_min,unique_ips,failed_logins,payload_size_bytes,token_reuse_count,endpoint_variety,hour_of_day,label
2,2,2,607,1,3,16,0
11,1,1,661,1,1,8,0
7,2,0,187,1,2,12,0
1,1,1,308,1,5,17,0
4,2,2,636,0,2,8,0
8,1,2,302,1,5,11,0
8,1,2,707,1,4,22,0
3,2,1,570,0,1,17,0
7,1,2,778,0,2,10,0
14,1,0,496,1,4,9,0
13,2,2,231,0,5,8,0
7,1,2,482,0,1,16,0
4,1,1,466,1,5,19,0
14,1,0,570,0,1,21,0
6,2,2,558,0,3,14,0
14,1,0,643,0,5,13,0
11,1,0,668,0,2,16,0
9,1,2,468,1,4,8,0
9,2,1,458,1,2,9,0
1,2,1,746,1,5,21,0
6,1,2,546,0,2,8,0
4,2,1,531,0,4,15,0
3,1,0,252,0,2,9,0
12,2,2,782,0,1,12,0
8,2,2,548,0,1,15,0
8,2,1,189,0,2,12,0
6,2,0,604,1,4,14,0
11,1,0,494,1,5,20,0
15,1,2,523,1,3,15,0
10,2,1,681,1,2,11,0
11,2,1,444,1,5,8,0
1,1,1,763,1,4,14,0
8,1,0,605,0,4,13,0
6,1,1,720,1,3,9,0
2,1,1,473,0,3,17,0
15,2,0,167,1,5,14,0
11,1,0,186,0,3,10,0
15,2,1,376,1,2,16,0
2,1,2,403,1,1,15,0
14,2,1,736,1,2,17,0
1,1,2,588,0,4,10,0
8,1,1,368,1,1,10,0
12,2,0,504,0,4,16,0
15,2,0,741,0,3,14,0
5,1,2,734,0,1,9,0
14,1,0,633,0,1,13,0
2,2,0,267,1,5,19,0
9,2,0,679,0,1,22,0
8,2,0,407,0,2,20,0
6,1,2,680,0,5,8,0
7,1,2,799,0,5,10,0
3,2,0,537,1,3,14,0
11,2,0,298,1,1,22,0
6,1,2,717,0,5,13,0
8,2,0,637,1,3,20,0
7,2,0,754,0,4,16,0
8,1,2,367,0,5,14,0
8,1,0,440,1,1,17,0
9,2,2,742,0,4,15,0
6,1,2,495,1,1,16,0
9,2,1,452,1,4,13,0
10,2,0,425,0,2,14,0
15,2,1,731,1,4,10,0
1,2,2,265,1,3,8,0
13,1,1,226,0,3,16,0
10,1,0,746,1,4,8,0
1,2,0,555,0,1,22,0
4,2,1,628,0,3,8,0
11,2,0,556,1,1,9,0
7,2,0,681,0,1,21,0
5,1,2,472,1,4,22,0
2,1,0,489,1,4,21,0
8,1,2,752,1,4,13,0
13,2,2,761,0,2,11,0
6,1,2,767,0,2,10,0
6,2,2,301,0,3,19,0
14,2,2,795,0,2,16,0
6,1,2,710,1,2,12,0
2,2,0,647,1,3,16,0
5,2,0,763,1,4,15,0
10,2,2,368,0,1,17,0
3,2,1,431,0,2,10,0
6,2,1,764,0,2,20,0
8,2,0,395,1,2,16,0
12,2,2,798,1,2,8,0
8,1,2,615,0,2,16,0
12,1,1,121,0,4,16,0
7,1,0,624,0,4,10,0
5,2,2,549,1,3,13,0
1,1,0,513,1,1,20,0
1,1,2,707,1,4,9,0
8,2,0,126,0,4,13,0
13,1,0,193,0,3,9,0
12,1,2,450,0,4,9,0
15,2,1,202,1,5,12,0
15,2,2,135,1,4,16,0
4,2,1,497,1,3,16,0
7,2,1,227,0,2,18,0
15,2,0,362,1,4,10,0
11,2,2,491,1,5,10,0
1,1,2,605,0,2,18,0
13,1,2,227,1,3,17,0
1,2,0,754,1,2,11,0
10,2,0,260,0,2,19,0
12,2,2,609,0,4,21,0
15,2,0,564,0,3,17,0
15,2,1,728,0,4,9,0
15,2,1,763,0,4,12,0
7,2,0,571,0,1,12,0
14,2,1,606,1,3,16,0
2,1,2,473,0,4,21,0
10,2,2,342,1,3,9,0
4,1,0,252,0,2,13,0
4,2,1,353,1,3,21,0
15,2,2,638,0,4,19,0
9,2,2,769,1,5,9,0
5,2,1,721,1,2,9,0
15,1,2,762,1,4,16,0
9,1,0,673,1,3,21,0
3,2,0,594,1,5,19,0
3,1,1,444,0,2,13,0
2,2,2,754,1,4,13,0
4,1,0,501,0,4,17,0
10,1,1,201,0,3,18,0
5,2,1,691,0,4,22,0
13,2,2,750,0,3,11,0
2,2,1,369,0,1,8,0
7,1,1,432,1,1,16,0
11,2,1,383,1,3,13,0
6,2,2,566,0,1,18,0
3,2,2,417,1,1,9,0
3,2,1,717,1,2,11,0
11,1,1,389,1,2,14,0
7,2,2,691,1,5,11,0
14,2,0,798,1,2,20,0
2,2,2,228,0,2,16,0
9,1,2,784,1,4,14,0
3,1,2,167,0,5,18,0
14,2,2,510,0,2,14,0
10,2,1,399,0,3,13,0
1,1,2,128,1,5,12,0
7,2,2,129,1,5,16,0
12,2,0,331,1,4,12,0
14,2,1,440,0,3,21,0
8,2,2,213,1,3,10,0
8,1,1,756,0,2,9,0
2,2,2,701,1,5,16,0
14,2,2,580,1,2,20,0
1,2,1,735,1,3,19,0
6,2,1,706,1,4,15,0
6,1,2,386,1,1,11,0
4,1,1,431,1,3,13,0
12,2,1,472,1,5,20,0
14,1,1,105,1,2,12,0
8,2,0,762,0,5,14,0
11,1,2,367,0,3,10,0
14,2,0,297,0,5,22,0
2,1,1,196,1,4,14,0
14,1,0,221,0,5,21,0
10,1,0,306,0,3,21,0
11,2,0,450,0,3,18,0
5,1,1,594,1,3,19,0
6,1,2,577,0,1,22,0
3,1,1,557,0,3,22,0
13,1,2,447,1,1,19,0
3,2,1,561,1,1,9,0
14,2,0,280,1,2,10,0
9,2,2,621,1,3,9,0
5,2,0,491,0,4,21,0
13,2,0,386,0,5,15,0
15,1,1,452,0,3,8,0
